School Name,Instagram ID,Abbreviation
Adlai E Stevenson HS,"shsgermanclub, shs.polofans, aeshs_auto, shs_investing_club, stevensonboysvolleyball","Stevenson, shs"
American Heritage Schools,"ahpbathletics, ahs_info_stuco, ahpbboyssoccer, heritagewsoc, ahsicehockey","ahs, American, Heritage"
Archbishop Molloy HS,"molloyhs_varsitybaseball, molloyhs_varsitysoftball_, molloyhs_admissions, molloyhs, molloyhs_athletics","molloyhs, molloy, amhs, archbishop"
Arnold O. Beckman HS,"justice_league_bhs, bhsanimeandwebtoonclub, stf.beckman, beckman.2028, beckman.2027, beckman.2029","bhs, beckman, abhs"
Barrington HS,"bhs_eaglesfb, bhsfillieslax, barringtonhsinteract, barringtonhs_girlsflagfootball","bhs, barrington"
Bellarmine College Prep,"bcplacrosse, bcp.polevault, bellarmine_ccc, bcprugby, bcp.redcrossclub, thebellarminebellarman","BCP, bcp, bellarmine"
Benjamin N. Cardozo HS,"benjamincardozohs, cardozocheer_stunt, cardozomocktrial, dozo.fbla, cardozo.wrestling, dozojudgettes","dozo, bnchs, cardozo, benjamin"
Berkeley Preparatory School,"bpsredcrossclub, berkxctf, bps_rowing, alessandraverfailie, bps_varcity_soccer, berkelyprepalumni, bpsspiritualife","Bps, bps, BPS, berkeley"
Blair Academy,"blair_varsity_baseball, blairaquatics, blairacademyskiteam, blairtfxc, blair_academy","blair, BA"
Brooklyn Technical HS,"brooklyntech_hs, thetechkey, bthssgo, bktechwrestling, bthsnhs, brooklyntechlibrary","bths, tech"
Cerritos HS,"cerritosmao, cerritos_lowbrass, cerritosmsu, cerritostennis, cerritohs_athletics, cerritohs.bec ","chs, CHS, Cerritos, cerritos"
Choate Rosemarry Hall,"choate.debate, choateco2028, choategirlscrosscountry, choatevarsitybaseball, choategvvb","choate, crh, ct, cr"
Crescenta Valley HS,"cvhs_falcons, crescentavalleyhs, crescentavalleydance, cvfalcon_athletics, cvhs_classof27, cvhsfalconsfootball","cvhs, cv, valley, crescenta"
Deerfield HS,"deerfieldkeyclub, dhslibrary1, dhs_friendsofthearts, deerfieldband, deerfieldrobotics","deerfield, dhs, dfhs"
Diamond Bar HS,"dbhstheater, dbhsorg, fbla.dbhs, dbhs_events, diamondbarusb, dbhsmusic ","dbhs, db, bar, diamond"
Edward R. Murrow HS,"edwardrmurrowhs, murrowboys_basketball, murrowart, murrowtheater, themurrownetwork, murrow.music.official_","ermhs, murrow"
El Segundo HS,"elsegundohigh, eshs.27, elsegundofootball, elsegundocheerteam, eshs.28, eshscrosscountry","eshs, el segundo, segundo, es"
Ethical Culture Fieldston School,"csabfieldston, fieldstonvarsitytheater, thefieldstonnews, ecfs1878","ecfs, fieldston"
Forest Hills HS,"fhhsscioly, fhhskeyclub, foresthillstrackandfield, fhhs.athletics, fhhssoccerofficial, fhhsstudentgov","fhhs, forest, hill"
Fort Hamilton HS,"forthamiltonbk, fhhstigerbaseball, fthhsalumni, fhhscheerbk, fhhsflagteam, fort2enior5, fthhspta","FHHS, fhhs, fthhs, FTHHS, Hamilton"
Fountain Valley HS,"fvhs_athletics, fvhsfca, fvhssurf, fvhs.crosscountry, fountainvalleycolorguard","fvhs, FVHS, fountain, valley"
Francis Lewis HS,"foresthillshs_nyc, flhsmathoffice, francis.lewis.hoops, flhs_robotics, flhspatriots, lewisculinary","flhs, lewis, francis"
Georgetown Day School,"gdswsoccer, gdsvbaseball, gdsmens.tennis, gds_menslax, gds_wrestling, gdswvbball, gdshoppers","Georgetown, gds"
Glen A. Wilson HS,"gawhs_co28, gawhs.co27, gawhsco29, gawhsco26","gawhs, wilson, glen, whs"
Glenbard West HS,"gbw.art, gbwgirlswrestling, gbwcheerleading, gbwbasketballbuddies, bestbuddiesgbw","gbw, gwhs, gbwhs, Glenbard, ghs"
Glenbrook North HS,"glenbrooknorth, titanpoms, gbn_cheer, gbnband","gbn, glenbrook, north, gn"
Harry S Truman HS,"truman.hs, trumanhsbxathletics, trumanbaseballnyc, truman_hs_bb, trumanmustangwrestling, trumanbasketball","hst, hsths, truman, harry"
Harvard-Westlake School,"hwgirslwaterpolo, hw_surfclub, hwfanatics, hwfieldhockey, hwspirit, hwbaseball","Harvard-Westlake, harvard-westlake, HW, hw, westlake, harvard"
Highland Park HS,"hp.scoops, hpgvsoc, hphssoccer, hphsfh, highland_park_barstool26","hphs, phs, highland, park, hp"
Hinsdale Central HS,"philosophy_clubhchs, hchschess, hinsdalecentralboystennis, hinsdale.central.cheer, hinsdalecentralsportsphotos","hchs, hinsdale, central, chs"
Horace Mann School,"horace_mann_trojans, hmalumni, hmcstigers6, horacemannschoolnyc, horacemanncoco, horacemannlions","Horace, horace mann, hm, HM, mann"
Irvine HS,"ihs_hiphopteam, xiaolongbaosquad, ihs.rockband, irvinehigh_softball, irvinehigh28, ihsgirlslacrosse","ihs, irvine"
James Madison HS,"jmhsbklyn, jmhsmbb, studentgov_jmhs, athletics_jmhs, jmhs_mentors, jmhs.badminton","jmhs, mhs, james, mdhs, madison"
John Hersey HS,"herseyband, studentcouncil.26, herseygirls_wrestling, jhhs.percussion, herseystrings","jjhs, hersey, hhs"
Jones College Prep HS,"jonesgirlsvball, jonescollegeprepband, jonesstudentgovernment, jcpyearbook, jonesgirlslacrosse","jcp, jcphs, jones"
La Cañada HS,"lacanadahighschool, lchscollegeandcareer, la_canada_marching_band, lacanadaathletics, thespartannews, lchsasb","lchs, lc, Cañada, canada"
La Quinta HS,"lqhs_girlsvclub, lqhsclassof2026, lqtrack_field, laquintahighboysbasketball, lqhs_girlsgolf","lq, lqhs, quinta"
Lake Forest HS,"lfhsfreshmansoccer, lfhsgbb, lfhsmathteam, lfscoutstennis, lfhsscholasticbowl","lfhs, lake forest, lake, forest, fhs"
Leon M. Goldstein HS,"lmghs, goldsteinkeyclub, lmghss.2027, lmghs2026, lmghs.2028, lmghs_nhs","lmghs, lmg, goldstein, leon"
Libertyville HS,"lvillesoftball, lvillegflagfootball, libertyville_wrestling, lvillelatinclub, lville_cheer","lville, libertyville, lhs"
Lowell HS,"lowell_bsu, lowelltech, lhsfilam, lowellhsbsu, thelowell, lowellhistoryclub, lhslatinclub","lhs, LHS, Lowell"
Lynbrook HS,"lynbrook.hs, lhsgirlupclub_, lynbrrok_hs_tea, lbkstudentsection, lbkhsbirthdaywishes","lhs, LHS, Lynbrook"
Maine South HS,"mainesouthfashion, ms_stuco, ms_eclub, mainesouthlibrary, mshsmedcareers","mshs, south, maine, ms"
Mark Keppel HS,"markkeppelhigh, mkhasb, mkhsaztecband, mkhsdance, theaztecnews, mkhs_girlsbasketball","mkhs, keppel"
Maspeth HS,"mhsboysvarssoccer, maspethhsboysvarstrack, maspeth_hs_rugby, maspethhsathletics, maspethhs.badminton, maspethhoops","mhs, maspeth"
Metea Valley HS,"mvhsasianamerican, mvhs.boystennis, mvcitizens, mvhsgirlswapo, meteamane, mvhs_boysvolleyball, meteavalley","MVHS, mvhs, Metea, metea, valley"
Midwood HS,"midwoodhsunicef. midwooddebateteam, mhsasianfest, midwoodphsclub, midwoodaerspace","Midwood, midwood, mhs, MHS"
Milton Academy,"maboyssoccer, mabvsquash, majvbsoccer, ma_skiteam, maclass2026, miltonacademysailing, magirlssoccerr, miltonacademy","MA, milton"
Mira Costa HS,"mchsdramatechdepartment, mchs.girlsgolf, mchsbands, miracosta_girlsflag, costaboyswp","mchs, Mchs, MCHS, costa, mira"
Monta Vista HS,"montavistawaterpolo, mvhstunt, montavistaptca, mvhs28, mvphyseng","mvhs, MVHS, Mvhs, monta, vista, mountain view"
Munster HS,"munsterhs, munsterchoirs, munsterforensics, munstergirlsbasketball, munsterhssac","mhs, munster"
Naperville Central HS,"nchsredhawkcheer, nchsgymnasticss, nchs_orch, nchstheatrecentral, nchs_tri_m","NCHS, nhs, Naperville"
Naperville North HS,"nnhsevsc, nnhs.wrestling_, nnhs_deca, nnhsnnmc, nnhs_nhs","nnhs, Naperville, nvnhs, nvhs, north, nn"
Neuqua Valley HS,"neuquaya, nvcatsbaseball, nvspeech, nvlaxgocats, neuquaband","nvhs, neuqua, valley, vhs"
New Trier Township HS,"newtrierhs_santa, newtrierfigureskating, newtriersailing, newtrierclimbing, ntmusic_comp","NT, nths, trier"
Northside College Preparatory HS,"ncpnhs, ncp_varsitydance, ncpmenslax, ncpwjvsoccer, ncp.football","ncp, northside"
Northwood HS,"northwoodhs, northwood.msa, nhs.marching, northwoodhsgolf, nhs_collegencareer, northwoodswimanddive","NHS, nhs, Northwood, northwood, nwhs"
Oak Park and River Forest HS,"holaoprf, oprfxc, oprfboystennis, oprfspeechteam, oprfhs_sportsmed, oprfathleticcouncil, oprfhs_huskies","oprf, OPRF, oak, river, forest"
Orange County School of the Arts (OCSA),"weareocsa, ocsaballroom, ocsapopularmusic, ocsacmd, ocsa_cah, ocsamt","ocsa, orange, county"
Phillips Academy Andover,"andoverphilo, andover2025, andover.2027, andover.2026, andoverathletics, phillipsacademy","Phillips Andover, PA, pa, Phillips, andover, Andover"
Phillips Exeter Academy,"phillipsexeter, phillipsexeterdance, phillipsacademy, exetergirlslacrosse, exeterfieldhockey, pea_lib","pea, Exeter, PEA, phillips"
Poly Prep Country Day School,"polyprep, polypreparts, polybluedevils, polyprepbase, polystudentgovernment, themorningdevil","poly prep, poly, ppcds, country"
Portola HS,"portolahsdance, portolatennis, portolahsclassof2026, phssenioractivities26, portolavisualarts","PHS, portola"
