School Name,Instagram ID (5-6),Abbreviation (keyword that bot will detect in people's bio)
American Heritage Schools,"ahpbathletics, ahs_info_stuco, ahpbboyssoccer, heritagewsoc, ahsicehockey","ahs, American, Heritage"
The Dalton School,"daltontigersgvb, daltoncommunityservice, daltondiyaclub, daltonxctf, daltongvt, daltonschoolnyc","dalton, ds, tds"
The Quarry Lane School,"qls.tbt, minds_unwind, qls_classof27, qls.pop, qls.cognicore, qlskeyclub, qlroar","qls, Quarry Lane, Quarry"
Ethical Culture Fieldston School,"csabfieldston, fieldstonvarsitytheater, thefieldstonnews, ecfs1878","ecfs, fieldston"
Blair Academy,"blair_varsity_baseball, blairaquatics, blairacademyskiteam, blairtfxc, blair_academy","blair, BA"
The Village School,"viking_seniors26, vhsboys_soccer, vhs.ndsa, ladyvikings_vb_, tennis.vhs, villagevikings","vhs, vilage, viking"
Ransom Everglades School,"re_softball, re_boys_volleyball, re_student_philanthropy, ransomevergladesscuba, re_poetry_, ransomevergladesathletics","RE, Ransom Everglades, Ransom, Everglades, RES"
Milton Academy,"maboyssoccer, mabvsquash, majvbsoccer, ma_skiteam, maclass2026, miltonacademysailing, magirlssoccerr, miltonacademy","MA, milton"
The Awty International School,"awtyvarsitytennis, reesegk09, awtygirlslacrosse, awtyjvfh, ayahpapayito, awtyintlschool","ais, awty, "
Georgetown Day School,"gdswsoccer, gdsvbaseball, gdsmens.tennis, gds_menslax, gds_wrestling, gdswvbball, gdshoppers","Georgetown, gds"
Maspeth HS,"mhsboysvarssoccer, maspethhsboysvarstrack, maspeth_hs_rugby, maspethhsathletics, maspethhs.badminton, maspethhoops","mhs, maspeth"
St. Joseph by the Sea HS,"stjosephbythesea, seavikingsbball, seavolleyball, stjseafootball, st.joseph_girlsflagfootball, seavikingsbaseball","st joseph by the sea, sea, sjs"
Staten Island Technical HS,"sitechso, sitechstudentlife, sithsmercury, msitsoccer, _sammytheseagull, sithskeyclub","siths, sith, sit"
Susan E. Wagner HS,"wagnerjrotc, sewfalconsjournalism, susanwagnerband, wagnerdance, sewfalcons, wagnerhscheerleading","sewhs, whs, susan wagner, wagner"
Archbishop Molloy HS,"molloyhs_varsitybaseball, molloyhs_varsitysoftball_, molloyhs_admissions, molloyhs, molloyhs_athletics","molloyhs, molloy, amhs"
Benjamin N. Cardozo HS,"benjamincardozohs, cardozocheer_stunt, cardozomocktrial, dozo.fbla, cardozo.wrestling, dozojudgettes","dozo, bnchs, cardozo"
Forest Hills HS,"fhhsscioly, fhhskeyclub, foresthillstrackandfield, fhhs.athletics, fhhssoccerofficial, fhhsstudentgov","fhhs, forest hills"
Francis Lewis HS,"foresthillshs_nyc, flhsmathoffice, francis.lewis.hoops, flhs_robotics, flhspatriots, lewisculinary","flhs, lewis"
Richmond Hill HS,"athletics_rhhs, rhhsfootball, richmondhillhs, rhhschorus, rhhs.baseball, rhhs_cheerleaders","rhhs, richmond hill hs, richmond hill"
St. Francis Preparatory School,"stfrancisprep, stfrancisprepathletics, stfrancisprepmusic, sfpfootball, sfpdanceteam, stfrancisprepmensbasketball","sfp, st. francis prep"
Townsend Harris HS,"townsend_harris_hs, thhssu, harrislam_, thhsperiod, thhskc","thhs, townsend"
Vanguard HS,stuyvesanths_nyc,
Stuyvesant HS,,
Brooklyn Technical HS,,
Edward R. Murrow HS,,
Fort Hamilton HS,"forthamiltonbk, fhhstigerbaseball, fthhsalumni, fhhscheerbk, fhhsflagteam, fort2enior5, fthhspta","FHHS, fhhs, fthhs, FTHHS, Fort Hamilton, Fort Hamilton HS"
James Madison HS,,
Leon M. Goldstein HS,,
Midwood HS,"midwoodhsunicef. midwooddebateteam, mhsasianfest, midwoodphsclub, midwoodaerspace","Midwood, midwood, mhs, MHS"
Poly Prep Country Day School,,
Saint Ann's School,"sasvarsitysoccer, saint_annas_computer_center, sasblackstudentunion, sasboysjvsoccer","Saint Ann's , sas, SAS, saint ann's"
Xaverian HS,"xaverian_volleyball, xaverianvarsitytennis, xhsgsoccer, xaverianhsbaseball, xaverianxctf, xaveriangirlsvaristyswim","xhs, xaverian"
Harry S Truman HS,,
La Cañada HS,,
Troy HS,"troyhighasb, troywarriors, troyhsfbla, troywarriorsathletics, troynjrotc, troyhighmusicprogram","ths, troy"
Orange County School of the Arts (OCSA),"weareocsa, ocsaballroom, ocsapopularmusic, ocsacmd, ocsa_cah, ocsamt","ocsa, orange county school of the arts"
Redondo Union HS,,
South Pasadena Senior HS,,
Irvine HS,,
Portola HS,,
Diamond Bar HS,"dbhstheater, dbhsorg, fbla.dbhs, dbhs_events, diamondbarusb, dbhsmusic
","dbhs, db"
Cerritos HS,,
La Quinta HS,,
Northwood HS,,
Sunny Hills HS,,
Glen A. Wilson HS,,
Woodbridge HS,,
Arnold O. Beckman HS,,
Fountain Valley HS,,
Santa Monica HS,,
El Segundo HS,,
West Ranch HS,,
Walnut HS,"walnuthigh_asb, walnut_mustangs, whsbluethunderband, whs.mustangathletics, walnutfbla, walnutfootball","whs, walnut"
Crescenta Valley HS,,
Mark Keppel HS,,
Valencia HS,,
Gabrielino HS,,
Mira Costa HS,,
Monta Vista HS,,
Walter Payton College Preparatory HS,,
Northside College Preparatory HS,,
Whitney M. Young Magnet HS,,
